"Asian Paints","Wipro","Titan","SBI","L&T","Infosys","ICICI","CoalIndia","Bajaj Finance","Axis Bank"
709.9,542.4,348.15,2560,1680,4028,1481.6456043956,398.35,4711.4,2765
717.1,546.9,354.95,2560.5,1720,4001,1478.72802197802,399.6,4780,2760
734.9,557.1,359.8,2600,1721,4020,1471.19093406593,397,4896.5,2756.25
743,561,361.6,2608,1723,4036,1490.64148351648,394.65,5219.35,2776
747,564,370,2690,1737.5,4100,1531.73076923077,400.7,5384.6,2880
753,559,359,2680,1768.1,4040,1525.65247252747,419.9,5320,2855.75
751,565,350.6,2610,1744.9,4000,1543.4010989011,412,5277,2830
749.1,555.55,353.5,2640,1804.85,3980,1533.67582417582,412,5385.9,2825
750.6,551,355,2580,1748,3952,1473.37912087912,408.25,5320,2765
738,550,355,2592.5,1789,3972,1511.79395604396,409.1,5424,2801.5
756.35,546,367,2620,1783.8,3960,1498.17857142857,422.9,5468,2795
761.55,553.35,364.2,2685,1810,4000,1526.86813186813,426,5501,2892.5
763,560,349,2679,1800,3948,1521.76236263736,425.4,5481.35,2900
765,546,355.85,2625.5,1783.9,3920,1502.55494505495,417,5530,2887.75
792,553.9,358.7,2706,1817,3960,1530.75824175824,420.75,5600,2910
823,551.95,362.5,2699,1800,3940,1500.12362637363,428.8,5540.6,2885
809.9,553.3,355,2670,1812,3840,1492.82967032967,419,5250,2890.25
804.5,548.1,360,2700,1850,3800,1523.95054945055,420.6,5030,2875
